"time","territoryFullName","territoryName","territoryKey","totalMandates","availableMandates","numParishes","numParishesApproved","blankVotes","blankVotesPercentage","nullVotes","nullVotesPercentage","votersPercentage","subscribedVoters","totalVoters","pre.totalMandates","pre.availableMandates","pre.blankVotes","pre.blankVotesPercentage","pre.nullVotes","pre.nullVotesPercentage","pre.votersPercentage","pre.subscribedVoters","pre.totalVoters","Council","District"
"2019-12-03 11:13:36","São Lourenço do Bairro","São Lourenço do Bairro","LOCAL-010310",NA,0,1,1,47,4.22,23,2.06,50.02,2229,1115,NA,0,43,3.39,39,3.07,54.27,2340,1270,"Anadia","Aveiro"
"2019-12-03 11:13:36","Vila Nova de Monsarros","Vila Nova de Monsarros","LOCAL-010312",NA,0,1,1,33,4.43,14,1.88,47.97,1553,745,NA,0,25,3.03,22,2.67,49.25,1675,825,"Anadia","Aveiro"
"2019-12-03 11:13:36","Vilarinho do Bairro","Vilarinho do Bairro","LOCAL-010313",NA,0,1,1,55,4.08,35,2.6,49.22,2739,1348,NA,0,36,2.23,39,2.41,55.1,2931,1615,"Anadia","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas","Amoreira da Gândara, Paredes do Bairro e Ancas","LOCAL-010316",NA,0,1,1,52,3.76,36,2.6,54.93,2516,1382,NA,0,58,3.75,31,2,55.91,2767,1547,"Anadia","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Arcos e Mogofores","Arcos e Mogofores","LOCAL-010317",NA,0,1,1,120,3.97,36,1.19,53.27,5681,3026,NA,0,102,3.23,39,1.23,55.15,5730,3160,"Anadia","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Tamengos, Aguim e Óis do Bairro","Tamengos, Aguim e Óis do Bairro","LOCAL-010318",NA,0,1,1,74,4.63,37,2.32,52.12,3066,1598,NA,0,60,3.49,35,2.04,55.29,3107,1718,"Anadia","Aveiro"
"2019-12-03 11:13:36","Alvarenga","Alvarenga","LOCAL-010402",NA,0,1,1,20,3.58,8,1.43,57.41,972,558,NA,0,7,1.09,7,1.09,59.57,1076,641,"Arouca","Aveiro"
"2019-12-03 11:13:36","Chave","Chave","LOCAL-010407",NA,0,1,1,16,2.2,8,1.1,63.57,1142,726,NA,0,15,2.02,11,1.48,63.86,1165,744,"Arouca","Aveiro"
"2019-12-03 11:13:36","Escariz","Escariz","LOCAL-010409",NA,0,1,1,41,3.57,24,2.09,60.74,1890,1148,NA,0,25,2.2,18,1.58,58.02,1958,1136,"Arouca","Aveiro"
"2019-12-03 11:13:36","Fermedo","Fermedo","LOCAL-010411",NA,0,1,1,19,2.71,6,0.86,58.24,1202,700,NA,0,3,0.42,8,1.11,55.35,1299,719,"Arouca","Aveiro"
"2019-12-03 11:13:36","Mansores","Mansores","LOCAL-010413",NA,0,1,1,19,3.14,6,0.99,60.78,997,606,NA,0,12,1.89,11,1.74,60.96,1040,634,"Arouca","Aveiro"
"2019-12-03 11:13:36","Moldes","Moldes","LOCAL-010414",NA,0,1,1,18,2.77,9,1.39,57.69,1125,649,NA,0,14,2.12,12,1.82,55.46,1190,660,"Arouca","Aveiro"
"2019-12-03 11:13:36","Rossas","Rossas","LOCAL-010415",NA,0,1,1,36,4.28,14,1.66,59.55,1414,842,NA,0,34,3.79,9,1,61.24,1463,896,"Arouca","Aveiro"
"2019-12-03 11:13:36","Santa Eulália","Santa Eulália","LOCAL-010416",NA,0,1,1,64,5.45,33,2.81,58.06,2022,1174,NA,0,41,3.35,19,1.55,60.59,2020,1224,"Arouca","Aveiro"
"2019-12-03 11:13:36","São Miguel do Mato","São Miguel do Mato","LOCAL-010417",NA,0,1,1,5,1.61,3,0.96,50.08,621,311,NA,0,0,0,1,0.29,51.95,668,347,"Arouca","Aveiro"
"2019-12-03 11:13:36","Tropeço","Tropeço","LOCAL-010418",NA,0,1,1,22,3.89,12,2.12,53.8,1052,566,NA,0,10,1.71,20,3.42,53.09,1100,584,"Arouca","Aveiro"
"2019-12-03 11:13:36","Urrô","Urrô","LOCAL-010419",NA,0,1,1,19,3.78,3,0.6,56.58,889,503,NA,0,15,2.68,7,1.25,57.61,972,560,"Arouca","Aveiro"
"2019-12-03 11:13:36","Várzea","Várzea","LOCAL-010420",NA,0,1,1,8,2.73,5,1.71,65.26,449,293,NA,0,4,1.4,4,1.4,63.41,451,286,"Arouca","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Arouca e Burgo","Arouca e Burgo","LOCAL-010421",NA,0,1,1,109,4.13,25,0.95,55.74,4736,2640,NA,0,83,3.03,36,1.31,58.34,4700,2742,"Arouca","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Cabreiros e Albergaria da Serra","Cabreiros e Albergaria da Serra","LOCAL-010422",NA,0,1,1,2,1.89,1,0.94,38.41,276,106,NA,0,1,0.9,2,1.8,37.37,297,111,"Arouca","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Canelas e Espiunca","Canelas e Espiunca","LOCAL-010423",NA,0,1,1,17,3.29,7,1.35,51.49,1004,517,NA,0,8,1.35,11,1.85,55.73,1064,593,"Arouca","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Covelo de Paivó e Janarde","Covelo de Paivó e Janarde","LOCAL-010424",NA,0,1,1,2,1.74,1,0.87,54.25,212,115,NA,0,0,0,1,0.73,59.31,231,137,"Arouca","Aveiro"
"2019-12-03 11:13:36","Aradas","Aradas","LOCAL-010501",NA,0,1,1,162,3.56,53,1.17,53.85,8447,4549,NA,0,161,3.61,64,1.43,54.98,8117,4463,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Cacia","Cacia","LOCAL-010502",NA,0,1,1,106,3.22,48,1.46,53.58,6139,3289,NA,0,124,3.51,72,2.04,56.03,6313,3537,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Esgueira","Esgueira","LOCAL-010505",NA,0,1,1,210,3.35,103,1.64,52.4,11951,6262,NA,0,170,2.65,78,1.21,54.79,11731,6427,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Oliveirinha","Oliveirinha","LOCAL-010508",NA,0,1,1,96,4.31,42,1.89,53.14,4191,2227,NA,0,83,3.57,51,2.19,54.27,4290,2328,"Aveiro","Aveiro"
"2019-12-03 11:13:36","São Bernardo","São Bernardo","LOCAL-010510",NA,0,1,1,105,3.91,52,1.94,59.49,4510,2683,NA,0,99,3.52,45,1.6,62.81,4474,2810,"Aveiro","Aveiro"
"2019-12-03 11:13:36","São Jacinto","São Jacinto","LOCAL-010511",NA,0,1,1,7,1.81,3,0.78,44.88,860,386,NA,0,12,2.59,3,0.65,50.33,920,463,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Santa Joana","Santa Joana","LOCAL-010513",NA,0,1,1,114,2.9,75,1.91,54.39,7220,3927,NA,0,117,2.85,68,1.65,55.97,7345,4111,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Eixo e Eirol","Eixo e Eirol","LOCAL-010515",NA,0,1,1,95,3.39,70,2.5,50.87,5502,2799,NA,0,83,2.74,57,1.88,54.49,5561,3030,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Requeixo, Nossa Senhora de Fátima e Nariz","Requeixo, Nossa Senhora de Fátima e Nariz","LOCAL-010516",NA,0,1,1,70,3.41,56,2.73,51.24,4007,2053,NA,0,61,2.72,56,2.5,54.02,4152,2243,"Aveiro","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Glória e Vera Cruz","Glória e Vera Cruz","LOCAL-010517",NA,0,1,1,289,2.71,130,1.22,59.29,18014,10681,NA,0,311,2.98,122,1.17,59.89,17426,10436,"Aveiro","Aveiro"
"2019-12-03 11:13:36","Fornos","Fornos","LOCAL-010602",NA,0,1,1,11,1.56,13,1.85,58.62,1201,704,NA,0,14,1.77,12,1.52,61.93,1274,789,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","Real","Real","LOCAL-010606",NA,0,1,1,21,3.5,10,1.67,55,1091,600,NA,0,9,1.39,10,1.55,57.21,1131,647,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","Santa Maria de Sardoura","Santa Maria de Sardoura","LOCAL-010607",NA,0,1,1,29,2.45,26,2.2,56.98,2078,1184,NA,0,28,2.16,27,2.09,58.68,2205,1294,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","São Martinho de Sardoura","São Martinho de Sardoura","LOCAL-010608",NA,0,1,1,17,1.64,21,2.03,62.67,1653,1036,NA,0,10,0.94,8,0.75,63.25,1690,1069,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Raiva, Pedorido e Paraíso","Raiva, Pedorido e Paraíso","LOCAL-010610",NA,0,1,1,53,2.5,57,2.69,53.87,3930,2117,NA,0,39,1.69,40,1.74,55.65,4142,2305,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Sobrado e Bairros","Sobrado e Bairros","LOCAL-010611",NA,0,1,1,41,1.67,46,1.88,59.14,4146,2452,NA,0,36,1.49,52,2.15,58.69,4130,2424,"Castelo de Paiva","Aveiro"
"2019-12-03 11:13:36","Espinho","Espinho","LOCAL-010702",NA,0,1,1,129,2.12,82,1.35,60.48,10063,6086,NA,0,143,2.24,98,1.53,63.71,10030,6390,"Espinho","Aveiro"
"2019-12-03 11:13:36","Paramos","Paramos","LOCAL-010704",NA,0,1,1,28,1.65,25,1.47,54.8,3106,1702,NA,0,31,1.69,38,2.08,57.62,3174,1829,"Espinho","Aveiro"
"2019-12-03 11:13:36","Silvalde","Silvalde","LOCAL-010705",NA,0,1,1,75,2.36,63,1.98,54.22,5854,3174,NA,0,59,1.6,68,1.84,61.49,5994,3686,"Espinho","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Anta e Guetim","Anta e Guetim","LOCAL-010706",NA,0,1,1,155,2.39,109,1.68,59.86,10821,6477,NA,0,142,2.05,121,1.75,62.86,11026,6931,"Espinho","Aveiro"
"2019-12-03 11:13:36","Avanca","Avanca","LOCAL-010801",NA,0,1,1,85,2.99,53,1.86,53.72,5300,2847,NA,0,98,3.28,59,1.98,54.3,5497,2985,"Estarreja","Aveiro"
"2019-12-03 11:13:36","Pardilhó","Pardilhó","LOCAL-010805",NA,0,1,1,52,3.38,21,1.37,40.78,3769,1537,NA,0,35,2.07,27,1.59,43.53,3892,1694,"Estarreja","Aveiro"
"2019-12-03 11:13:36","Salreu","Salreu","LOCAL-010806",NA,0,1,1,60,3.38,31,1.75,52.14,3404,1775,NA,0,54,2.8,35,1.81,55.61,3469,1929,"Estarreja","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Beduído e Veiros","Beduído e Veiros","LOCAL-010808",NA,0,1,1,129,2.91,81,1.83,48.79,9081,4431,NA,0,137,2.92,74,1.58,51.29,9146,4691,"Estarreja","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Canelas e Fermelã","Canelas e Fermelã","LOCAL-010809",NA,0,1,1,51,3.68,16,1.16,55.85,2480,1385,NA,0,57,3.76,25,1.65,60.54,2504,1516,"Estarreja","Aveiro"
"2019-12-03 11:13:36","Argoncilhe","Argoncilhe","LOCAL-010901",NA,0,1,1,82,1.81,67,1.48,60.82,7442,4526,NA,0,96,2.08,76,1.65,61.2,7536,4612,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Arrifana","Arrifana","LOCAL-010902",NA,0,1,1,72,2.34,63,2.05,54.03,5684,3071,NA,0,52,1.62,51,1.58,55.78,5769,3218,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Escapães","Escapães","LOCAL-010904",NA,0,1,1,41,2.39,28,1.63,57.21,2994,1713,NA,0,43,2.45,34,1.94,58.25,3011,1754,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Fiães","Fiães","LOCAL-010907",NA,0,1,1,118,3.07,64,1.66,55.66,6915,3849,NA,0,98,2.37,59,1.43,58.03,7126,4135,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Fornos","Fornos","LOCAL-010908",NA,0,1,1,53,3.13,37,2.19,55.86,3029,1692,NA,0,30,1.73,33,1.9,57.9,3000,1737,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Lourosa","Lourosa","LOCAL-010913",NA,0,1,1,105,2.4,101,2.31,56.57,7744,4381,NA,0,112,2.42,73,1.58,58.64,7901,4633,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Milheirós de Poiares","Milheirós de Poiares","LOCAL-010914",NA,0,1,1,45,2.32,40,2.06,58.23,3328,1938,NA,0,47,2.38,36,1.82,59.27,3329,1973,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Mozelos","Mozelos","LOCAL-010916",NA,0,1,1,81,2.04,58,1.46,61.53,6442,3964,NA,0,71,1.79,56,1.42,62.34,6346,3956,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Nogueira da Regedoura","Nogueira da Regedoura","LOCAL-010917",NA,0,1,1,77,2.47,50,1.6,60.5,5160,3122,NA,0,61,1.9,40,1.25,63.96,5016,3208,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","São Paio de Oleiros","São Paio de Oleiros","LOCAL-010918",NA,0,1,1,55,2.57,39,1.83,62.22,3433,2136,NA,0,43,1.86,38,1.65,65.87,3504,2308,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Paços de Brandão","Paços de Brandão","LOCAL-010919",NA,0,1,1,68,2.5,48,1.76,62.57,4355,2725,NA,0,62,2.16,46,1.6,66.49,4315,2869,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Rio Meão","Rio Meão","LOCAL-010921",NA,0,1,1,57,2.18,50,1.91,59.92,4369,2618,NA,0,54,1.92,45,1.6,63.27,4440,2809,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Romariz","Romariz","LOCAL-010922",NA,0,1,1,45,2.97,35,2.31,51.55,2937,1514,NA,0,37,2.3,22,1.37,51.67,3118,1611,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Sanguedo","Sanguedo","LOCAL-010924",NA,0,1,1,33,1.89,32,1.83,56.01,3119,1747,NA,0,41,2.25,20,1.1,58.32,3126,1823,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Santa Maria de Lamas","Santa Maria de Lamas","LOCAL-010925",NA,0,1,1,70,2.54,48,1.74,61.65,4477,2760,NA,0,47,1.6,48,1.63,63.71,4613,2939,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","São João de Ver","São João de Ver","LOCAL-010926",NA,0,1,1,172,3.28,96,1.83,55.39,9479,5250,NA,0,113,2.15,66,1.26,57.84,9081,5252,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Caldas de São Jorge e Pigeiros","Caldas de São Jorge e Pigeiros","LOCAL-010932",NA,0,1,1,62,3.06,26,1.28,57.85,3502,2026,NA,0,74,3.48,24,1.13,57.85,3675,2126,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Canedo, Vale e Vila Maior","Canedo, Vale e Vila Maior","LOCAL-010933",NA,0,1,1,265,6.19,99,2.31,48.96,8738,4278,NA,0,63,1.43,79,1.8,48.71,9015,4391,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Lobão, Gião, Louredo e Guisande","Lobão, Gião, Louredo e Guisande","LOCAL-010934",NA,0,1,1,163,3.38,94,1.95,51.12,9447,4829,NA,0,104,2.1,94,1.89,51.29,9677,4963,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo","Santa Maria da Feira, Travanca, Sanfins e Espargo","LOCAL-010935",NA,0,1,1,268,2.69,162,1.63,58.94,16883,9950,NA,0,251,2.59,167,1.72,59.11,16419,9705,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","União de freguesias de São Miguel de Souto e Mosteirô","São Miguel de Souto e Mosteirô","LOCAL-010936",NA,0,1,1,92,2.7,78,2.29,56.18,6057,3403,NA,0,78,2.25,67,1.94,56.28,6148,3460,"Santa Maria da Feira","Aveiro"
"2019-12-03 11:13:36","Gafanha da Encarnação","Gafanha da Encarnação","LOCAL-011005",NA,0,1,1,87,4.08,30,1.41,41.27,5163,2131,NA,0,89,4.1,34,1.57,41.29,5253,2169,"Ílhavo","Aveiro"
"2019-12-03 11:13:36","Gafanha da Nazaré","Gafanha da Nazaré","LOCAL-011006",NA,0,1,1,262,4.03,108,1.66,46.72,13925,6506,NA,0,231,3.44,107,1.59,48.76,13785,6721,"Ílhavo","Aveiro"
"2019-12-03 11:13:36","Gafanha do Carmo","Gafanha do Carmo","LOCAL-011007",NA,0,1,1,33,4.81,15,2.19,41.38,1658,686,NA,0,21,2.91,13,1.8,40.92,1762,721,"Ílhavo","Aveiro"
"2019-12-03 11:13:36","Ílhavo (São Salvador)","Ílhavo (São Salvador)","LOCAL-011008",NA,0,1,1,247,3.28,105,1.4,49.37,15241,7525,NA,0,216,2.78,140,1.8,50.79,15304,7773,"Ílhavo","Aveiro"
"2019-12-03 11:13:36","Barcouço","Barcouço","LOCAL-011102",NA,0,1,1,36,3.92,23,2.51,48.47,1894,918,NA,0,37,3.71,14,1.4,51.68,1929,997,"Mealhada","Aveiro"
"2019-12-03 11:13:36","Casal Comba","Casal Comba","LOCAL-011103",NA,0,1,1,54,3.88,21,1.51,46.79,2975,1392,NA,0,42,2.73,36,2.34,49.55,3100,1536,"Mealhada","Aveiro"
"2019-12-03 11:13:36","Luso","Luso","LOCAL-011104",NA,0,1,1,37,3.14,21,1.78,52.05,2267,1180,NA,0,43,3.26,18,1.36,55.16,2395,1321,"Mealhada","Aveiro"
"2019-12-03 11:13:36","Pampilhosa","Pampilhosa","LOCAL-011106",NA,0,1,1,59,3.15,38,2.03,53.47,3503,1873,NA,0,63,3.21,26,1.32,54.67,3594,1965,"Mealhada","Aveiro"
"2019-12-03 11:13:36","Vacariça","Vacariça","LOCAL-011107",NA,0,1,1,23,2.74,17,2.03,50.6,1656,838,NA,0,27,2.8,11,1.14,54.86,1759,965,"Mealhada","Aveiro"
"2019-12-03 11:13:36","União das freguesias da Mealhada, Ventosa do Bairro e Antes","Mealhada, Ventosa do Bairro e Antes","LOCAL-011109",NA,0,1,1,142,4.7,52,1.72,51.93,5816,3020,NA,0,102,3.2,54,1.69,54.07,5892,3186,"Mealhada","Aveiro"
"2019-12-03 11:13:36","Bunheiro","Bunheiro","LOCAL-011201",NA,0,1,1,25,2.2,15,1.32,46.71,2428,1134,NA,0,27,2.19,22,1.78,49.6,2486,1233,"Murtosa","Aveiro"
"2019-12-03 11:13:36","Monte","Monte","LOCAL-011202",NA,0,1,1,26,4.17,17,2.72,40.34,1547,624,NA,0,15,2.33,11,1.71,42.94,1502,645,"Murtosa","Aveiro"
"2019-12-03 11:13:36","Murtosa","Murtosa","LOCAL-011203",NA,0,1,1,40,3.25,16,1.3,38.14,3225,1230,NA,0,41,3.1,20,1.51,41.24,3203,1321,"Murtosa","Aveiro"
"2019-12-03 11:13:36","Torreira","Torreira","LOCAL-011204",NA,0,1,1,27,2.53,16,1.5,39.54,2696,1066,NA,0,27,2.33,23,1.98,43.73,2655,1161,"Murtosa","Aveiro"
"2019-12-03 11:13:36","Carregosa","Carregosa","LOCAL-011301",NA,0,1,1,50,2.57,43,2.21,63.18,3085,1949,NA,0,31,1.59,49,2.51,63.17,3095,1955,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Cesar","Cesar","LOCAL-011302",NA,0,1,1,37,2.33,22,1.38,57.9,2746,1590,NA,0,33,1.97,26,1.55,59.24,2829,1676,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Fajões","Fajões","LOCAL-011303",NA,0,1,1,25,1.68,36,2.41,54.91,2717,1492,NA,0,31,1.99,30,1.93,55.85,2784,1555,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Loureiro","Loureiro","LOCAL-011304",NA,0,1,1,44,2.36,36,1.93,58.5,3183,1862,NA,0,37,1.95,25,1.32,61.04,3101,1893,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Macieira de Sarnes","Macieira de Sarnes","LOCAL-011305",NA,0,1,1,31,2.95,14,1.33,61.71,1703,1051,NA,0,24,2.15,25,2.24,63.58,1752,1114,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Ossela","Ossela","LOCAL-011310",NA,0,1,1,26,2.5,33,3.17,58.39,1781,1040,NA,0,23,2.09,33,2.99,62.05,1776,1102,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","São Martinho da Gândara","São Martinho da Gândara","LOCAL-011315",NA,0,1,1,22,2.11,21,2.01,59.75,1749,1045,NA,0,17,1.53,14,1.26,60.83,1823,1109,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","São Roque","São Roque","LOCAL-011318",NA,0,1,1,76,2.84,42,1.57,58.6,4563,2674,NA,0,65,2.31,49,1.74,61.43,4579,2813,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","Vila de Cucujães","Vila de Cucujães","LOCAL-011319",NA,0,1,1,132,2.51,92,1.75,56.29,9354,5265,NA,0,99,1.78,79,1.42,57.81,9632,5568,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Nogueira do Cravo e Pindelo","Nogueira do Cravo e Pindelo","LOCAL-011320",NA,0,1,1,65,2.25,81,2.81,61.59,4686,2886,NA,0,54,1.84,69,2.35,62.36,4716,2941,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail","O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail","LOCAL-011321",NA,0,1,1,230,2.25,160,1.57,55.08,18557,10222,NA,0,254,2.42,163,1.55,57.83,18186,10517,"Oliveira de Azeméis","Aveiro"
"2019-12-03 11:13:36","União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz","Pinheiro da Bemposta, Travanca e Palmaz","LOCAL-011322",NA,0,1,1,82,2.54,54,1.67,50.49,6405,3234,NA,0,92,2.44,48,1.28,57.67,6525,3763,"Oliveira de Azeméis","Aveiro"
