"time","District","Party","Mandates","Percentage","validVotesPercentage","Votes"
2019-10-06 18:56:26,"Faro","PPM",0,0.4,0.41,755
2019-10-06 18:56:26,"Guarda","PPD/PSD.CDS-PP",2,45.59,47.64,38964
2019-10-06 18:56:26,"Guarda","PS",2,33.78,35.29,28868
2019-10-06 18:56:26,"Guarda","B.E.",0,7.42,7.75,6341
2019-10-06 18:56:26,"Guarda","PCP-PEV",0,3.95,4.13,3379
2019-10-06 18:56:26,"Guarda","PDR",0,1.12,1.17,958
2019-10-06 18:56:26,"Guarda","PAN",0,0.85,0.89,725
2019-10-06 18:56:26,"Guarda","PCTP/MRPP",0,0.81,0.84,689
2019-10-06 18:56:26,"Guarda","PNR",0,0.46,0.48,389
2019-10-06 18:56:26,"Guarda","MPT",0,0.35,0.36,298
2019-10-06 18:56:26,"Guarda","L/TDA",0,0.34,0.35,287
2019-10-06 18:56:26,"Guarda","PTP-MAS",0,0.32,0.34,277
2019-10-06 18:56:26,"Guarda","PPM",0,0.25,0.26,211
2019-10-06 18:56:26,"Guarda","NC",0,0.21,0.22,180
2019-10-06 18:56:26,"Guarda","PURP",0,0.17,0.18,144
2019-10-06 18:56:26,"Guarda","JPP",0,0.1,0.1,83
2019-10-06 18:56:26,"Leiria","PPD/PSD.CDS-PP",6,48.42,50.9,115453
2019-10-06 18:56:26,"Leiria","PS",3,24.82,26.09,59184
2019-10-06 18:56:26,"Leiria","B.E.",1,9.66,10.15,23034
2019-10-06 18:56:26,"Leiria","PCP-PEV",0,5.11,5.37,12181
2019-10-06 18:56:26,"Leiria","PDR",0,1.71,1.79,4067
2019-10-06 18:56:26,"Leiria","PAN",0,1.22,1.28,2908
2019-10-06 18:56:26,"Leiria","PCTP/MRPP",0,1.06,1.11,2517
2019-10-06 18:56:26,"Leiria","L/TDA",0,0.75,0.79,1786
2019-10-06 18:56:26,"Leiria","MPT",0,0.5,0.52,1189
2019-10-06 18:56:26,"Leiria","PNR",0,0.45,0.47,1073
2019-10-06 18:56:26,"Leiria","PTP-MAS",0,0.38,0.4,916
2019-10-06 18:56:26,"Leiria","NC",0,0.35,0.37,840
2019-10-06 18:56:26,"Leiria","PPM",0,0.29,0.31,701
2019-10-06 18:56:26,"Leiria","PURP",0,0.26,0.27,612
2019-10-06 18:56:26,"Leiria","JPP",0,0.16,0.16,371
2019-10-06 18:56:26,"Lisboa","PPD/PSD.CDS-PP",18,34.68,35.9,399520
2019-10-06 18:56:26,"Lisboa","PS",18,33.54,34.72,386354
2019-10-06 18:56:26,"Lisboa","B.E.",5,10.89,11.27,125438
2019-10-06 18:56:26,"Lisboa","PCP-PEV",5,9.84,10.19,113406
2019-10-06 18:56:26,"Lisboa","PAN",1,1.96,2.03,22628
2019-10-06 18:56:26,"Lisboa","L/TDA",0,1.27,1.32,14683
2019-10-06 18:56:26,"Lisboa","PCTP/MRPP",0,0.96,1,11083
2019-10-06 18:56:26,"Lisboa","PDR",0,0.89,0.92,10249
2019-10-06 18:56:26,"Lisboa","PNR",0,0.62,0.65,7188
2019-10-06 18:56:26,"Lisboa","MPT",0,0.44,0.46,5078
2019-10-06 18:56:26,"Lisboa","PTP-MAS",0,0.44,0.45,5026
2019-10-06 18:56:26,"Lisboa","PURP",0,0.35,0.36,3999
2019-10-06 18:56:26,"Lisboa","NC",0,0.32,0.34,3737
2019-10-06 18:56:26,"Lisboa","PPM",0,0.24,0.25,2820
2019-10-06 18:56:26,"Lisboa","JPP",0,0.13,0.14,1553
2019-10-06 18:56:26,"Madeira","PPD/PSD",3,37.75,39.2,47228
2019-10-06 18:56:26,"Madeira","PS",2,20.9,21.7,26152
2019-10-06 18:56:26,"Madeira","B.E.",1,10.66,11.07,13342
2019-10-06 18:56:26,"Madeira","JPP",0,6.93,7.2,8671
2019-10-06 18:56:26,"Madeira","CDS-PP",0,6.02,6.25,7536
2019-10-06 18:56:26,"Madeira","PCP-PEV",0,3.57,3.71,4468
2019-10-06 18:56:26,"Madeira","PAN",0,1.76,1.83,2206
2019-10-06 18:56:26,"Madeira","PDR",0,1.71,1.78,2144
2019-10-06 18:56:26,"Madeira","PTP",0,1.4,1.45,1748
2019-10-06 18:56:26,"Madeira","MPT",0,1.36,1.42,1705
2019-10-06 18:56:26,"Madeira","PCTP/MRPP",0,1.27,1.32,1592
2019-10-06 18:56:26,"Madeira","L/TDA",0,1.01,1.05,1260
2019-10-06 18:56:26,"Madeira","NC",0,0.9,0.93,1125
2019-10-06 18:56:26,"Madeira","PNR",0,0.63,0.65,784
2019-10-06 18:56:26,"Madeira","PPM",0,0.42,0.44,528
2019-10-06 18:56:26,"Portalegre","PS",1,42.43,43.94,25037
2019-10-06 18:56:26,"Portalegre","PPD/PSD.CDS-PP",1,27.63,28.61,16303
2019-10-06 18:56:26,"Portalegre","PCP-PEV",0,12.18,12.61,7184
2019-10-06 18:56:26,"Portalegre","B.E.",0,9.2,9.52,5427
2019-10-06 18:56:26,"Portalegre","PCTP/MRPP",0,1.7,1.76,1001
2019-10-06 18:56:26,"Portalegre","PAN",0,0.79,0.81,464
2019-10-06 18:56:26,"Portalegre","PDR",0,0.55,0.57,326
2019-10-06 18:56:26,"Portalegre","PNR",0,0.37,0.38,217
2019-10-06 18:56:26,"Portalegre","PTP-MAS",0,0.34,0.35,198
2019-10-06 18:56:26,"Portalegre","L/TDA",0,0.32,0.33,189
2019-10-06 18:56:26,"Portalegre","PPM",0,0.32,0.33,187
2019-10-06 18:56:26,"Portalegre","MPT",0,0.26,0.27,154
2019-10-06 18:56:26,"Portalegre","PURP",0,0.25,0.26,147
2019-10-06 18:56:26,"Portalegre","NC",0,0.24,0.25,144
2019-10-06 18:56:26,"Porto","PPD/PSD.CDS-PP",17,39.59,41,380043
2019-10-06 18:56:26,"Porto","PS",14,32.72,33.88,314084
2019-10-06 18:56:26,"Porto","B.E.",5,11.14,11.54,106954
2019-10-06 18:56:26,"Porto","PCP-PEV",3,6.83,7.07,65560
2019-10-06 18:56:26,"Porto","PAN",0,1.59,1.65,15295
2019-10-06 18:56:26,"Porto","PDR",0,1.11,1.15,10702
2019-10-06 18:56:26,"Porto","PCTP/MRPP",0,1.07,1.11,10290
2019-10-06 18:56:26,"Porto","L/TDA",0,0.52,0.54,5014
2019-10-06 18:56:26,"Porto","PNR",0,0.49,0.51,4750
2019-10-06 18:56:26,"Porto","MPT",0,0.36,0.37,3449
2019-10-06 18:56:26,"Porto","NC",0,0.29,0.3,2773
2019-10-06 18:56:26,"Porto","PTP-MAS",0,0.29,0.3,2788
2019-10-06 18:56:26,"Porto","PPM",0,0.25,0.26,2392
2019-10-06 18:56:26,"Porto","PURP",0,0.17,0.17,1611
2019-10-06 18:56:26,"Porto","JPP",0,0.13,0.13,1239
2019-10-06 18:56:26,"Santarém","PPD/PSD.CDS-PP",4,35.82,37.32,81544
2019-10-06 18:56:26,"Santarém","PS",3,32.91,34.28,74905
2019-10-06 18:56:26,"Santarém","B.E.",1,10.76,11.21,24489
2019-10-06 18:56:26,"Santarém","PCP-PEV",1,9.64,10.04,21941
2019-10-06 18:56:26,"Santarém","PCTP/MRPP",0,1.34,1.4,3060
2019-10-06 18:56:26,"Santarém","PAN",0,1.19,1.24,2715
2019-10-06 18:56:26,"Santarém","PDR",0,1.04,1.09,2377
2019-10-06 18:56:26,"Santarém","L/TDA",0,0.54,0.57,1236
2019-10-06 18:56:26,"Santarém","PNR",0,0.53,0.55,1206
2019-10-06 18:56:26,"Santarém","MPT",0,0.46,0.48,1038
2019-10-06 18:56:26,"Santarém","NC",0,0.41,0.43,932
2019-10-06 18:56:26,"Santarém","PTP-MAS",0,0.41,0.42,928
2019-10-06 18:56:26,"Santarém","PPM",0,0.36,0.38,822
2019-10-06 18:56:26,"Santarém","PURP",0,0.36,0.38,827
2019-10-06 18:56:26,"Santarém","PPV/CDC",0,0.22,0.22,491
2019-10-06 18:56:26,"Setúbal","PS",7,34.31,35.43,145302
2019-10-06 18:56:26,"Setúbal","PPD/PSD.CDS-PP",5,22.59,23.33,95659
2019-10-06 18:56:26,"Setúbal","PCP-PEV",4,18.8,19.41,79606
2019-10-06 18:56:26,"Setúbal","B.E.",2,13.05,13.48,55276
2019-10-06 18:56:26,"Setúbal","PAN",0,1.93,1.99,8167
2019-10-06 18:56:26,"Setúbal","PCTP/MRPP",0,1.59,1.64,6721
2019-10-06 18:56:26,"Setúbal","L/TDA",0,1.01,1.04,4277
2019-10-06 18:56:26,"Setúbal","PDR",0,0.97,1.01,4124
2019-10-06 18:56:26,"Setúbal","PNR",0,0.63,0.65,2676
2019-10-06 18:56:26,"Setúbal","PTP-MAS",0,0.43,0.44,1807
2019-10-06 18:56:26,"Setúbal","PURP",0,0.4,0.41,1700
2019-10-06 18:56:26,"Setúbal","MPT",0,0.37,0.39,1584
2019-10-06 18:56:26,"Setúbal","NC",0,0.37,0.38,1572
2019-10-06 18:56:26,"Setúbal","PPM",0,0.24,0.25,1024
2019-10-06 18:56:26,"Setúbal","JPP",0,0.13,0.14,561
2019-10-06 18:56:26,"Viana do Castelo","PPD/PSD.CDS-PP",4,45.54,47.52,58509
2019-10-06 18:56:26,"Viana do Castelo","PS",2,29.82,31.12,38309
2019-10-06 18:56:26,"Viana do Castelo","B.E.",0,7.96,8.3,10225
2019-10-06 18:56:26,"Viana do Castelo","PCP-PEV",0,5.23,5.46,6726
2019-10-06 18:56:26,"Viana do Castelo","PDR",0,1.87,1.95,2400
2019-10-06 18:56:26,"Viana do Castelo","PCTP/MRPP",0,0.87,0.9,1113
2019-10-06 18:56:26,"Viana do Castelo","PAN",0,0.85,0.88,1086
2019-10-06 18:56:26,"Viana do Castelo","NC",0,0.81,0.84,1037
2019-10-06 18:56:26,"Viana do Castelo","PTP-MAS",0,0.75,0.78,959
2019-10-06 18:56:26,"Viana do Castelo","PNR",0,0.44,0.45,559
2019-10-06 18:56:26,"Viana do Castelo","PPM",0,0.42,0.43,535
2019-10-06 18:56:26,"Viana do Castelo","L/TDA",0,0.35,0.37,453
2019-10-06 18:56:26,"Viana do Castelo","MPT",0,0.35,0.36,445
2019-10-06 18:56:26,"Viana do Castelo","PPV/CDC",0,0.3,0.32,390
2019-10-06 18:56:26,"Viana do Castelo","PURP",0,0.17,0.17,213
2019-10-06 18:56:26,"Viana do Castelo","JPP",0,0.12,0.13,160
2019-10-06 18:56:26,"Vila Real","PPD/PSD.CDS-PP",3,51.02,52.88,56262
2019-10-06 18:56:26,"Vila Real","PS",2,33.06,34.27,36461
2019-10-06 18:56:26,"Vila Real","B.E.",0,5.18,5.36,5707
2019-10-06 18:56:26,"Vila Real","PCP-PEV",0,2.95,3.05,3250
2019-10-06 18:56:26,"Vila Real","PCTP/MRPP",0,0.91,0.94,1004
2019-10-06 18:56:26,"Vila Real","PDR",0,0.73,0.76,806
2019-10-06 18:56:26,"Vila Real","PAN",0,0.6,0.63,667
2019-10-06 18:56:26,"Vila Real","PTP-MAS",0,0.47,0.49,521
2019-10-06 18:56:26,"Vila Real","L/TDA",0,0.35,0.36,383
2019-10-06 18:56:26,"Vila Real","PPM",0,0.29,0.3,316
2019-10-06 18:56:26,"Vila Real","MPT",0,0.28,0.29,306
2019-10-06 18:56:26,"Vila Real","NC",0,0.25,0.26,281
2019-10-06 18:56:26,"Vila Real","PNR",0,0.25,0.26,279
2019-10-06 18:56:26,"Vila Real","PURP",0,0.14,0.14,151
2019-10-06 18:56:26,"Viseu","PPD/PSD.CDS-PP",6,51.05,53.25,97362
2019-10-06 18:56:26,"Viseu","PS",3,29.65,30.92,56543
2019-10-06 18:56:26,"Viseu","B.E.",0,6.72,7.01,12816
2019-10-06 18:56:26,"Viseu","PCP-PEV",0,3.5,3.65,6668
2019-10-06 18:56:26,"Viseu","PDR",0,1.02,1.07,1952
2019-10-06 18:56:26,"Viseu","PCTP/MRPP",0,0.91,0.95,1743
2019-10-06 18:56:26,"Viseu","PAN",0,0.68,0.71,1296
2019-10-06 18:56:26,"Viseu","L/TDA",0,0.53,0.55,1003
2019-10-06 18:56:26,"Viseu","PTP-MAS",0,0.38,0.39,721
2019-10-06 18:56:26,"Viseu","MPT",0,0.36,0.37,679
2019-10-06 18:56:26,"Viseu","PNR",0,0.32,0.33,608
2019-10-06 18:56:26,"Viseu","NC",0,0.28,0.29,534
2019-10-06 18:56:26,"Viseu","PPM",0,0.28,0.29,533
2019-10-06 18:56:26,"Viseu","PURP",0,0.2,0.21,387
2019-10-06 19:00:02,"Território Nacional","PPD/PSD.CDS-PP",99,36.83,38.24,1981459
2019-10-06 19:00:02,"Território Nacional","PS",85,32.38,33.62,1742012
2019-10-06 19:00:02,"Território Nacional","B.E.",19,10.22,10.61,549878
2019-10-06 19:00:02,"Território Nacional","PCP-PEV",17,8.27,8.59,444955
2019-10-06 19:00:02,"Território Nacional","PPD/PSD",5,1.51,1.56,81054
2019-10-06 19:00:02,"Território Nacional","PAN",1,1.39,1.44,74752
2019-10-06 19:00:02,"Território Nacional","PDR",0,1.13,1.18,60998
2019-10-06 19:00:02,"Território Nacional","PCTP/MRPP",0,1.11,1.15,59838
2019-10-06 19:00:02,"Território Nacional","L/TDA",0,0.72,0.75,39008
2019-10-06 19:00:02,"Território Nacional","PNR",0,0.5,0.52,27141
2019-10-06 19:00:02,"Território Nacional","MPT",0,0.42,0.43,22416
2019-10-06 19:00:02,"Território Nacional","PTP-MAS",0,0.38,0.4,20709
2019-10-06 19:00:02,"Território Nacional","NC",0,0.35,0.36,18722
2019-10-06 19:00:02,"Território Nacional","PPM",0,0.28,0.29,14805
2019-10-06 19:00:02,"Território Nacional","JPP",0,0.26,0.27,14204
2019-10-06 19:00:02,"Território Nacional","PURP",0,0.26,0.27,13764
2019-10-06 19:00:02,"Território Nacional","CDS-PP",0,0.14,0.15,7536
2019-10-06 19:00:02,"Território Nacional","CDS-PP.PPM",0,0.07,0.07,3654
2019-10-06 19:00:02,"Território Nacional","PPV/CDC",0,0.05,0.05,2659
2019-10-06 19:00:02,"Território Nacional","PTP",0,0.03,0.03,1748
2019-10-06 19:00:02,"Açores","PS",3,40.37,42.47,37869
2019-10-06 19:00:02,"Açores","PPD/PSD",2,36.06,37.93,33826
2019-10-06 19:00:02,"Açores","B.E.",0,7.81,8.22,7330
2019-10-06 19:00:02,"Açores","CDS-PP.PPM",0,3.9,4.1,3654
2019-10-06 19:00:02,"Açores","PCP-PEV",0,2.47,2.6,2320
2019-10-06 19:00:02,"Açores","PAN",0,0.87,0.91,815
2019-10-06 19:00:02,"Açores","NC",0,0.82,0.86,766
2019-10-06 19:00:02,"Açores","PCTP/MRPP",0,0.64,0.67,601
2019-10-06 19:00:02,"Açores","PDR",0,0.54,0.57,511
2019-10-06 19:00:02,"Açores","PURP",0,0.37,0.39,346
2019-10-06 19:00:02,"Açores","L/TDA",0,0.35,0.37,332
2019-10-06 19:00:02,"Açores","PTP-MAS",0,0.34,0.36,319
2019-10-06 19:00:02,"Açores","MPT",0,0.32,0.34,299
2019-10-06 19:00:02,"Açores","PNR",0,0.2,0.21,185
2019-10-06 19:00:02,"Aveiro","PPD/PSD.CDS-PP",10,48.14,50.23,177185
2019-10-06 19:00:02,"Aveiro","PS",5,27.91,29.12,102726
2019-10-06 19:00:02,"Aveiro","B.E.",1,9.6,10.01,35327
2019-10-06 19:00:02,"Aveiro","PCP-PEV",0,4.36,4.55,16038
2019-10-06 19:00:02,"Aveiro","PDR",0,1.24,1.29,4548
2019-10-06 19:00:02,"Aveiro","PAN",0,0.97,1.01,3573
2019-10-06 19:00:02,"Aveiro","PCTP/MRPP",0,0.89,0.93,3280
2019-10-06 19:00:02,"Aveiro","PNR",0,0.46,0.48,1698
2019-10-06 19:00:02,"Aveiro","L/TDA",0,0.45,0.47,1660
2019-10-06 19:00:02,"Aveiro","MPT",0,0.36,0.38,1325
2019-10-06 19:00:02,"Aveiro","PPM",0,0.35,0.37,1292
2019-10-06 19:00:02,"Aveiro","PTP-MAS",0,0.34,0.36,1253
2019-10-06 19:00:02,"Aveiro","NC",0,0.27,0.29,1006
2019-10-06 19:00:02,"Aveiro","PPV/CDC",0,0.21,0.22,785
2019-10-06 19:00:02,"Aveiro","PURP",0,0.17,0.18,634
2019-10-06 19:00:02,"Aveiro","JPP",0,0.12,0.13,448
2019-10-06 19:00:02,"Beja","PS",1,37.29,38.51,27775
